RequirementText,_class_
The system shall refresh the display every 60 seconds.,PE
The application shall match the color of the schema set forth by Department of Homeland Security,LF
If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,US
The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,A
If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,US
The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,SE
The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,US
The product shall respond fast to keep up-to-date data in the display.,PE
The look and feel of the system shall conform to the user interface standards of the smart device.,LF
The user interface shall have standard menus buttons for navigation,LF
The system shall have a professional appearance,LF
The product shall have a consistent color scheme and fonts.,LF
The system shall be used by realtors with no training.,US
The system shall be intuitive and self explanatory.,US
The product shall be easy for a realtor to learn.,US
The product shall use symbols and words that are naturally understandable by the realtor community.,US
The product shall produce search results in an acceptable time,PE
The search results shall be returned no later 30 seconds  after the user has entered the search criteria,PE
The product shall generate a CMA report in an acceptable time.,PE
The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,PE
The product shall synchronize contacts and appointments in an acceptable time.,PE
The product shall synchronize with the office system every hour.,PE
The product shall be available for use 24 hours per day 365 days  per year,A
Out of 1000 accesses to the system the system is available 999 times.,A
The product shall operate in offline mode whenever internet connection is unavailable.,FT
The product shall allow the user to view previously downloaded search results CMA reports  and appointments.,FT
The product shall retain user preferences in the event of a failure.,FT
100% of saved user preferences shall be restored when system comes back online.,FT
The product shall be able to support multiple remote users,SC
The product shall be able support 1000 simultaneous users.,SC
The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,SC
The product shall be installed by an untrained realtor without recourse to separately-printed instructions.,US
90% of untrained realtors shall be able to install the product on their device without printed instructions,US
The product is expected to run on Windows CE and Palm operating systems.,PO
Only registered realtors shall be able to access the system.,SE
Every user of the system shall be authenticated and authorized.,SE
The product shall prevent its data from incorrect data being introduced.,SE
The system shall be easy to use by the Program Administrators/Nursing Staff Members.,US
All of the users shall be able to use the system after one day of training.,US
The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.,US
The number of mistakes noted by the students shall be decreased by 50% in the first year.,US
The system shall be intuitive to the Program Administrators/Nursing Staff Members.,US
2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.,US
The system shall use symbols and words that are naturally understandable by the user community.,US
The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.,US
Staff members shall be able to complete a set of tasks in a timely manner.,PE
The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.,PE
The system shall be available for use between the hours of 8am and 6pm.,A
The system shall achieve 95% up time.,A
system shall be able to handle all of the user requests/usage during business hours.,SC
The system shall cater to 10 simultaneous users from 9am to 5pm.,SC
The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.,SC
The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.,SC
The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.,O
The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.,O
